== (10,2,0) e=2 X4h=1 : every candidate with its rejection witness ==
a2 a3 c1 c2 bq1 n45 n4 | test | witness
 0  0  2  0  0  17 11 | length_budget | rem=38 not in [7,21]
 0  0  2  0  0  17 12 | length_budget | rem=39 not in [7,21]
 0  0  2  0  0  17 13 | length_budget | rem=40 not in [7,21]
 0  0  2  0  0  17 14 | length_budget | rem=41 not in [7,21]
 0  0  2  0  0  17 15 | length_budget | rem=42 not in [7,21]
 0  0  2  0  0  17 16 | length_budget | rem=43 not in [7,21]
 0  0  2  0  0  17 17 | length_budget | rem=44 not in [7,21]
 0  0  2  0  0  18  0 | length_budget | rem=22 not in [6,18]
 0  0  2  0  0  18  1 | length_budget | rem=23 not in [6,18]
 0  0  2  0  0  18  2 | length_budget | rem=24 not in [6,18]
 0  0  2  0  0  18  3 | length_budget | rem=25 not in [6,18]
 0  0  2  0  0  18  4 | length_budget | rem=26 not in [6,18]
 0  0  2  0  0  18  5 | length_budget | rem=27 not in [6,18]
 0  0  2  0  0  18  6 | length_budget | rem=28 not in [6,18]
 0  0  2  0  0  18  7 | length_budget | rem=29 not in [6,18]
 0  0  2  0  0  18  8 | length_budget | rem=30 not in [6,18]
 0  0  2  0  0  18  9 | length_budget | rem=31 not in [6,18]
 0  0  2  0  0  18 10 | length_budget | rem=32 not in [6,18]
 0  0  2  0  0  18 11 | length_budget | rem=33 not in [6,18]
 0  0  2  0  0  18 12 | length_budget | rem=34 not in [6,18]
 0  0  2  0  0  18 13 | length_budget | rem=35 not in [6,18]
 0  0  2  0  0  18 14 | length_budget | rem=36 not in [6,18]
 0  0  2  0  0  18 15 | length_budget | rem=37 not in [6,18]
 0  0  2  0  0  18 16 | length_budget | rem=38 not in [6,18]
 0  0  2  0  0  18 17 | C6A_n4        | n4=17 > 2*Rmax=16
 0  0  2  0  0  18 18 | C6A_n4        | n4=18 > 2*Rmax=16
 0  0  2  0  0  19  0 | length_budget | rem=17 not in [5,15]
 0  0  2  0  0  19  1 | length_budget | rem=18 not in [5,15]
 0  0  2  0  0  19  2 | length_budget | rem=19 not in [5,15]
 0  0  2  0  0  19  3 | length_budget | rem=20 not in [5,15]
 0  0  2  0  0  19  4 | length_budget | rem=21 not in [5,15]
 0  0  2  0  0  19  5 | length_budget | rem=22 not in [5,15]
 0  0  2  0  0  19  6 | length_budget | rem=23 not in [5,15]
 0  0  2  0  0  19  7 | length_budget | rem=24 not in [5,15]
 0  0  2  0  0  19  8 | length_budget | rem=25 not in [5,15]
 0  0  2  0  0  19  9 | length_budget | rem=26 not in [5,15]
 0  0  2  0  0  19 10 | length_budget | rem=27 not in [5,15]
 0  0  2  0  0  19 11 | length_budget | rem=28 not in [5,15]
 0  0  2  0  0  19 12 | length_budget | rem=29 not in [5,15]
 0  0  2  0  0  19 13 | length_budget | rem=30 not in [5,15]
 0  0  2  0  0  19 14 | length_budget | rem=31 not in [5,15]
 0  0  2  0  0  19 15 | C6A_n4        | n4=15 > 2*Rmax=14
 0  0  2  0  0  19 16 | C6A_n4        | n4=16 > 2*Rmax=14
 0  0  2  0  0  19 17 | C6A_n4        | n4=17 > 2*Rmax=14
 0  0  2  0  0  19 18 | C6A_n4        | n4=18 > 2*Rmax=14
 0  0  2  0  0  19 19 | C6A_n4        | n4=19 > 2*Rmax=14
 0  0  2  0  0  20  0 | TC5_pareto    | blocks_rest=24 > F(2,8,0,0)=20
 0  0  2  0  0  20  1 | length_budget | rem=13 not in [4,12]
 0  0  2  0  0  20  2 | length_budget | rem=14 not in [4,12]
 0  0  2  0  0  20  3 | length_budget | rem=15 not in [4,12]
 0  0  2  0  0  20  4 | length_budget | rem=16 not in [4,12]
 0  0  2  0  0  20  5 | length_budget | rem=17 not in [4,12]
 0  0  2  0  0  20  6 | length_budget | rem=18 not in [4,12]
 0  0  2  0  0  20  7 | length_budget | rem=19 not in [4,12]
 0  0  2  0  0  20  8 | length_budget | rem=20 not in [4,12]
 0  0  2  0  0  20  9 | length_budget | rem=21 not in [4,12]
 0  0  2  0  0  20 10 | length_budget | rem=22 not in [4,12]
 0  0  2  0  0  20 11 | length_budget | rem=23 not in [4,12]
 0  0  2  0  0  20 12 | length_budget | rem=24 not in [4,12]
 0  0  2  0  0  20 13 | C6A_n4        | n4=13 > 2*Rmax=12
 0  0  2  0  0  20 14 | C6A_n4        | n4=14 > 2*Rmax=12
 0  0  2  0  0  20 15 | C6A_n4        | n4=15 > 2*Rmax=12
 0  0  2  0  0  20 16 | C6A_n4        | n4=16 > 2*Rmax=12
 0  0  2  0  0  20 17 | C6A_n4        | n4=17 > 2*Rmax=12
 0  0  2  0  0  20 18 | C6A_n4        | n4=18 > 2*Rmax=12
 0  0  2  0  0  20 19 | C6A_n4        | n4=19 > 2*Rmax=12
 0  0  2  0  0  20 20 | C6A_n4        | n4=20 > 2*Rmax=12
 0  0  2  0  0  21  0 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21  1 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21  2 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21  3 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21  4 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21  5 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21  6 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21  7 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21  8 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21  9 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21 10 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21 11 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21 12 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21 13 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21 14 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21 15 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21 16 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21 17 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21 18 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21 19 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21 20 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  21 21 | C6A_n45       | n45=21 > 4*Rmax=20
 0  0  2  0  0  22  0 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22  1 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22  2 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22  3 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22  4 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22  5 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22  6 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22  7 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22  8 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22  9 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22 10 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22 11 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22 12 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22 13 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22 14 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22 15 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22 16 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22 17 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22 18 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22 19 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22 20 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22 21 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  22 22 | C6A_n45       | n45=22 > 4*Rmax=16
 0  0  2  0  0  23  0 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23  1 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23  2 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23  3 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23  4 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23  5 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23  6 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23  7 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23  8 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23  9 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23 10 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23 11 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23 12 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23 13 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23 14 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23 15 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23 16 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23 17 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23 18 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23 19 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23 20 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23 21 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23 22 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  23 23 | C6A_n45       | n45=23 > 4*Rmax=12
 0  0  2  0  0  24  0 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24  1 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24  2 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24  3 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24  4 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24  5 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24  6 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24  7 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24  8 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24  9 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24 10 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24 11 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24 12 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24 13 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24 14 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24 15 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24 16 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24 17 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24 18 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24 19 | C6A_n45       | n45=24 > 4*Rmax=8
