sol063.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol064.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol065.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol066.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol067.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol068.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol069.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol070.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol071.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol072.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol073.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol074.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol075.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol076.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol077.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol078.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol079.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol080.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol081.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol082.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol083.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol084.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol085.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol086.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol087.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol088.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol089.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol090.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol091.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol092.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol093.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
